seed,contrast,metric,left_value,right_value,difference
21003,C-B,active_loop_distance_m,111.16884556379901,143.23976177465525,-32.07091621085624
21003,C-B,active_loop_time_s,356.9,487.2999999999999,-130.39999999999992
21003,C-B,ape_rmse_m,0.506671,1.043301,-0.53663
21003,C-B,rpe_translation_rmse_m,0.043322,0.079285,-0.035962999999999995
21003,C-B,rpe_rotation_rmse_deg,0.263487,0.502674,-0.23918699999999993
21003,C-B,occupied_iou,0.07089723119577192,0.0723437636189314,-0.00144653242315948
21003,C-B,boundary_f1,0.48550994461069896,0.5234996555466301,-0.037989710935931176
21004,C-A,acceptance_rate,0.0,0.0,0.0
21004,C-A,active_loop_distance_m,156.1804701857195,106.08225816693728,50.098212018782235
21004,C-A,active_loop_time_s,484.30000000000007,263.30000000000007,221.0
21004,C-A,ape_rmse_m,0.493636,1.823823,-1.330187
21004,C-A,rpe_translation_rmse_m,0.041905,0.032476,0.009429
21004,C-A,rpe_rotation_rmse_deg,0.257093,0.140586,0.11650700000000003
21004,C-A,occupied_iou,0.07584459037678844,0.04997309987283576,0.025871490503952675
21004,C-A,boundary_f1,0.5455183656132634,0.3242843198320291,0.2212340457812343
21004,B-A,acceptance_rate,0.4,0.0,0.4
21004,B-A,active_loop_distance_m,214.26747958957338,106.08225816693728,108.1852214226361
21004,B-A,active_loop_time_s,649.4,263.30000000000007,386.0999999999999
21004,B-A,ape_rmse_m,0.603357,1.823823,-1.220466
21004,B-A,rpe_translation_rmse_m,0.074388,0.032476,0.041912
21004,B-A,rpe_rotation_rmse_deg,0.2876,0.140586,0.14701400000000003
21004,B-A,occupied_iou,0.09171862207947604,0.04997309987283576,0.041745522206640275
21004,B-A,boundary_f1,0.5265400200548099,0.3242843198320291,0.20225570022278083
21004,C-B,acceptance_rate,0.0,0.4,-0.4
21004,C-B,active_loop_distance_m,156.1804701857195,214.26747958957338,-58.08700940385387
21004,C-B,active_loop_time_s,484.30000000000007,649.4,-165.0999999999999
21004,C-B,ape_rmse_m,0.493636,0.603357,-0.10972100000000001
21004,C-B,rpe_translation_rmse_m,0.041905,0.074388,-0.032483
21004,C-B,rpe_rotation_rmse_deg,0.257093,0.2876,-0.030507000000000006
21004,C-B,occupied_iou,0.07584459037678844,0.09171862207947604,-0.0158740317026876
21004,C-B,boundary_f1,0.5455183656132634,0.5265400200548099,0.018978345558453458
21005,C-A,acceptance_rate,0.4,0.0,0.4
21005,C-A,active_loop_distance_m,89.22066889622548,116.14287860480829,-26.922209708582812
21005,C-A,active_loop_time_s,235.79999999999995,320.4999999999999,-84.69999999999993
21005,C-A,ape_rmse_m,0.842854,0.801703,0.04115099999999994
21005,C-A,rpe_translation_rmse_m,0.035097,0.034755,0.000342000000000002
21005,C-A,rpe_rotation_rmse_deg,0.210086,0.180242,0.02984399999999998
21005,C-A,occupied_iou,0.06155546006997729,0.05988545967478297,0.0016700003951943196
21005,C-A,boundary_f1,0.3651249199189656,0.3158841371973536,0.04924078272161203
21005,B-A,acceptance_rate,0.0,0.0,0.0
21005,B-A,active_loop_distance_m,251.98799159745928,116.14287860480829,135.845112992651
21005,B-A,active_loop_time_s,1085.9999999999995,320.4999999999999,765.4999999999997
21005,B-A,ape_rmse_m,0.905463,0.801703,0.10375999999999996
21005,B-A,rpe_translation_rmse_m,0.067362,0.034755,0.032607000000000004
21005,B-A,rpe_rotation_rmse_deg,1.328437,0.180242,1.148195
21005,B-A,occupied_iou,0.07766435685368701,0.05988545967478297,0.017778897178904046
21005,B-A,boundary_f1,0.5841958433903082,0.3158841371973536,0.2683117061929546
21005,C-B,acceptance_rate,0.4,0.0,0.4
21005,C-B,active_loop_distance_m,89.22066889622548,251.98799159745928,-162.7673227012338
21005,C-B,active_loop_time_s,235.79999999999995,1085.9999999999995,-850.1999999999996
21005,C-B,ape_rmse_m,0.842854,0.905463,-0.06260900000000003
21005,C-B,rpe_translation_rmse_m,0.035097,0.067362,-0.032265
21005,C-B,rpe_rotation_rmse_deg,0.210086,1.328437,-1.118351
21005,C-B,occupied_iou,0.06155546006997729,0.07766435685368701,-0.016108896783709727
21005,C-B,boundary_f1,0.3651249199189656,0.5841958433903082,-0.21907092347134255
