map,seed,condition,method,loop_id,vertex,target_x,target_y,radius_m,local_boundary_f1,local_boundary_status,local_boundary_precision,local_boundary_recall,local_symmetric_boundary_distance_mean_m,local_symmetric_boundary_distance_median_m,local_symmetric_boundary_distance_p95_m,local_distance_status,local_observed_coverage,local_domain_cells,local_gt_boundary_cells
map3,21005,A,Original,1,15,21.833333333333336,58.0625,5.0,0.0,NO_ESTIMATED_BOUNDARY,0.0,0.0,,,,ONE_EMPTY_DISTANCE_UNDEFINED,1.0,7827,7
map3,21005,A,Original,2,26,46.5,21.319444444444443,5.0,0.0,ESTIMATED_BOUNDARY_WITHOUT_GT,0.0,0.0,,,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0,7856,0
map3,21005,A,Original,3,35,21.833333333333336,33.65277777777778,5.0,,NOT_APPLICABLE_NO_GT_BOUNDARY,,,,,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0,7847,0
map3,21005,A,Original,4,22,34.166666666666664,-2.319444444444443,5.0,0.0,AVAILABLE,0.0,0.0,0.684213821697635,0.6601829462658746,0.7872068913829173,AVAILABLE,0.9666496294403271,7826,26
map3,21005,A,Original,5,8,-2.833333333333332,-2.319444444444443,5.0,0.6837606837606837,AVAILABLE,0.5194805194805194,1.0,0.17727272727272725,0.0,0.4,AVAILABLE,0.9648603423864075,7769,80
map3,21005,B,Always-Trace,1,15,21.833333333333336,58.0625,5.0,0.0,NO_ESTIMATED_BOUNDARY,0.0,0.0,,,,ONE_EMPTY_DISTANCE_UNDEFINED,1.0,7827,7
map3,21005,B,Always-Trace,2,26,46.5,21.319444444444443,5.0,,NOT_APPLICABLE_NO_GT_BOUNDARY,,,,,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0,7856,0
map3,21005,B,Always-Trace,3,35,21.833333333333336,33.65277777777778,5.0,,NOT_APPLICABLE_NO_GT_BOUNDARY,,,,,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0,7847,0
map3,21005,B,Always-Trace,4,22,34.166666666666664,-2.319444444444443,5.0,0.45508982035928147,AVAILABLE,0.29457364341085274,1.0,0.42180460248634716,0.35,0.8049774456642925,AVAILABLE,0.9945054945054945,7826,26
map3,21005,B,Always-Trace,5,8,-2.833333333333332,-2.319444444444443,5.0,0.025316455696202535,AVAILABLE,0.01694915254237288,0.05,1.1031325166504937,1.175,1.25,AVAILABLE,0.9944651821341228,7769,80
map3,21005,C,Selective,1,15,21.833333333333336,58.0625,5.0,0.0,NO_ESTIMATED_BOUNDARY,0.0,0.0,,,,ONE_EMPTY_DISTANCE_UNDEFINED,1.0,7827,7
map3,21005,C,Selective,2,26,46.5,21.319444444444443,5.0,,NOT_APPLICABLE_NO_GT_BOUNDARY,,,,,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0,7856,0
map3,21005,C,Selective,3,35,21.833333333333336,33.65277777777778,5.0,,NOT_APPLICABLE_NO_GT_BOUNDARY,,,,,,NOT_APPLICABLE_NO_GT_BOUNDARY,1.0,7847,0
map3,21005,C,Selective,4,22,34.166666666666664,-2.319444444444443,5.0,0.0,AVAILABLE,0.0,0.0,0.7021760034291044,0.7020690632574556,0.8,AVAILABLE,0.9685663174035267,7826,26
map3,21005,C,Selective,5,8,-2.833333333333332,-2.319444444444443,5.0,0.7493495229835212,AVAILABLE,0.8421052631578947,0.675,0.5277854533900335,0.05,1.7431311738062103,AVAILABLE,0.9750289612562749,7769,80
