map,seed,condition,method,loop_id,loop_vertex,selection_order,selection_timestamp,planned_source,planned,executed,execution_finished,target_attributable,temporally_associated,execution_policy,active_loop_distance_m,active_loop_time_s,actual_generated_repair_length_m,actual_executed_repair_length_m,early_stopped,avoided_nominal_repair_path_length_lower_bound_m,run_dir
map8,21001,C,Selective,2,38,2,0.0,LOOP_INSERTED event,True,True,True,True,False,SELECTIVE_REPAIR,26.702236974738316,70.0,12.84,26.702236974738316,True,5.477058581333232,results/phase4c/formal/map8/seed_21001/C_selective/attempt_01
map8,21001,C,Selective,3,35,3,0.0,LOOP_INSERTED event,True,True,True,False,False,NO_REPAIR,31.740425705764864,78.5,,0.0,False,,results/phase4c/formal/map8/seed_21001/C_selective/attempt_01
map8,21002,A,Original,1,20,1,0.0,LOOP_INSERTED event,True,True,True,False,False,ORIGINAL,13.548323164890952,28.100000000000023,,0.0,False,,results/phase4c/formal/map8/seed_21002/A_original/attempt_01
map8,21002,A,Original,2,38,2,0.0,LOOP_INSERTED event,True,True,True,False,False,ORIGINAL,26.799790237915023,50.19999999999982,,0.0,False,,results/phase4c/formal/map8/seed_21002/A_original/attempt_01
map8,21002,A,Original,3,35,3,0.0,LOOP_INSERTED event,True,True,True,False,True,ORIGINAL,40.541971636651546,88.19999999999982,,0.0,False,,results/phase4c/formal/map8/seed_21002/A_original/attempt_01
map8,21002,B,Always-Trace,1,20,1,0.0,LOOP_INSERTED event,True,True,True,False,False,ALWAYS_TRACE,27.65511696211763,70.10000000000002,3.51,27.65511696211763,False,,results/phase4c/formal/map8/seed_21002/B_always_trace/attempt_01
map8,21002,B,Always-Trace,2,38,2,0.0,LOOP_INSERTED event,True,True,True,False,True,ALWAYS_TRACE,60.30881252047607,163.5999999999999,13.12,60.30881252047607,False,,results/phase4c/formal/map8/seed_21002/B_always_trace/attempt_01
map8,21002,B,Always-Trace,3,35,3,0.0,LOOP_INSERTED event,True,True,True,True,True,ALWAYS_TRACE,62.16659798153297,208.60000000000014,12.86,62.16659798153297,False,,results/phase4c/formal/map8/seed_21002/B_always_trace/attempt_01
map8,21002,C,Selective,1,20,1,12.0,LOOP_INSERTED event,True,True,True,False,True,SELECTIVE_REPAIR,10.36364719440585,14.199999999999932,10.03,10.36364719440585,True,10.029540433615834,results/phase4c/formal/map8/seed_21002/C_selective/attempt_02
map8,21002,C,Selective,2,38,2,12.0,LOOP_INSERTED event,True,True,True,False,True,SELECTIVE_REPAIR,30.316262300360375,85.29999999999995,12.19,30.316262300360375,True,3.999309788255023,results/phase4c/formal/map8/seed_21002/C_selective/attempt_02
map8,21002,C,Selective,3,35,3,12.0,LOOP_INSERTED event,True,True,True,True,False,NO_REPAIR,12.217095896286013,38.299999999999955,,0.0,False,,results/phase4c/formal/map8/seed_21002/C_selective/attempt_02
map8,21003,A,Original,1,20,1,0.0,LOOP_INSERTED event,True,True,True,False,True,ORIGINAL,15.119273863896185,31.799999999999955,,0.0,False,,results/phase4c/formal/map8/seed_21003/A_original/attempt_01
map8,21003,A,Original,2,38,2,0.0,LOOP_INSERTED event,True,True,True,True,False,ORIGINAL,23.307458313005174,47.5,,0.0,False,,results/phase4c/formal/map8/seed_21003/A_original/attempt_01
map8,21003,A,Original,3,35,3,0.0,LOOP_INSERTED event,True,True,True,False,False,ORIGINAL,18.81122382578702,57.90000000000009,,0.0,False,,results/phase4c/formal/map8/seed_21003/A_original/attempt_01
map8,21003,B,Always-Trace,1,20,1,0.0,LOOP_INSERTED event,True,True,True,False,True,ALWAYS_TRACE,23.55654407329962,60.299999999999955,3.65,23.55654407329962,False,,results/phase4c/formal/map8/seed_21003/B_always_trace/attempt_01
map8,21003,B,Always-Trace,2,38,2,0.0,LOOP_INSERTED event,True,True,True,False,True,ALWAYS_TRACE,50.186317506940966,139.19999999999982,12.52,50.186317506940966,False,,results/phase4c/formal/map8/seed_21003/B_always_trace/attempt_01
map8,21003,B,Always-Trace,3,35,3,0.0,LOOP_INSERTED event,True,True,True,False,False,ALWAYS_TRACE,50.78992956334457,132.0,13.13,50.78992956334457,False,,results/phase4c/formal/map8/seed_21003/B_always_trace/attempt_01
map8,21003,C,Selective,1,20,1,0.0,LOOP_INSERTED event,True,True,True,False,True,SELECTIVE_REPAIR,10.733800502477472,15.0,7.75,10.733800502477472,True,7.750147243052819,results/phase4c/formal/map8/seed_21003/C_selective/attempt_01
map8,21003,C,Selective,2,38,2,0.0,LOOP_INSERTED event,True,True,True,True,False,SELECTIVE_REPAIR,25.431154424048387,52.40000000000009,12.75,25.431154424048387,True,8.582906797654168,results/phase4c/formal/map8/seed_21003/C_selective/attempt_01
