map,seed,condition,method,loop_id,loop_vertex,local_boundary_f1,local_boundary_status,local_symmetric_boundary_distance_mean_m,local_distance_status,local_observed_coverage
map8,21002,B,Always-Trace,1,20,0.9672457095018836,AVAILABLE,0.10619940459396882,AVAILABLE,0.9160432252701579
map8,21002,B,Always-Trace,2,38,0.9526184538653367,AVAILABLE,0.11182712713614423,AVAILABLE,0.9351252696200432
map8,21002,B,Always-Trace,3,35,0.5520581113801453,AVAILABLE,0.1895409058851738,AVAILABLE,0.9872721300706192
map8,21002,C,Selective,1,20,0.5556262180736485,AVAILABLE,0.35449310898424113,AVAILABLE,0.9107231920199501
map8,21002,C,Selective,2,38,0.8406737753052079,AVAILABLE,0.15728036785544536,AVAILABLE,0.9303965488634478
map8,21002,C,Selective,3,35,0.3873943120676403,AVAILABLE,0.19199724587308373,AVAILABLE,0.9867794383314173
map8,21003,A,Original,1,20,0.9753086419753086,AVAILABLE,0.08623005013661522,AVAILABLE,0.9189526184538653
map8,21003,A,Original,2,38,0.8035702245297013,AVAILABLE,0.13927169698739147,AVAILABLE,0.930147668823627
map8,21003,A,Original,3,35,0.2672955974842767,AVAILABLE,0.24289565187071757,AVAILABLE,0.987682706519954
map8,21003,B,Always-Trace,1,20,0.7955505952380951,AVAILABLE,0.1678048706479594,AVAILABLE,0.9241064006650042
map8,21003,B,Always-Trace,2,38,0.7632212471849034,AVAILABLE,0.17376594645393934,AVAILABLE,0.9331342293014767
map8,21003,B,Always-Trace,3,35,0.6454993188724719,AVAILABLE,0.18879718310424726,AVAILABLE,0.9922811627525046
map8,21003,C,Selective,1,20,0.8111589139279844,AVAILABLE,0.11512585106930857,AVAILABLE,0.9132169576059851
map8,21003,C,Selective,2,38,0.867122059778073,AVAILABLE,0.15901720276781328,AVAILABLE,0.928903268624523
map8,21003,C,Selective,3,35,0.1651959054006354,AVAILABLE,0.2855177248955661,AVAILABLE,0.9888323205780917
map8,21004,A,Original,1,20,0.9692489186000787,AVAILABLE,0.10547813263069777,AVAILABLE,0.9160432252701579
map8,21004,A,Original,2,38,1.0,AVAILABLE,0.1154201335709018,AVAILABLE,0.9308113489298159
map8,21004,A,Original,3,35,0.7168882323978335,AVAILABLE,0.18696690273995734,AVAILABLE,0.9860404007226146
map8,21004,B,Always-Trace,1,20,0.8982300884955753,AVAILABLE,0.1459227008121176,AVAILABLE,0.9084788029925187
map8,21004,B,Always-Trace,2,38,0.8280064829821717,AVAILABLE,0.14946255793287816,AVAILABLE,0.9342956694873071
map8,21004,B,Always-Trace,3,35,0.18770388958594728,AVAILABLE,0.2492714941339536,AVAILABLE,0.9812777139103301
map8,21004,C,Selective,1,20,0.8375214826513075,AVAILABLE,0.11198380906202698,AVAILABLE,0.9199501246882793
map8,21004,C,Selective,2,38,0.8517288532916586,AVAILABLE,0.12315414922812257,AVAILABLE,0.9329683092749295
map8,21004,C,Selective,3,35,0.4479038645363922,AVAILABLE,0.4564010538971598,AVAILABLE,0.9988503859418624
map8,21005,A,Original,1,20,0.9244769990566561,AVAILABLE,0.11308625286503479,AVAILABLE,0.9179551122194514
map8,21005,A,Original,2,38,0.8359999999999999,AVAILABLE,0.13994730012779072,AVAILABLE,0.9337149493943919
map8,21005,A,Original,3,35,0.19836639439906653,AVAILABLE,0.2647453283955584,AVAILABLE,0.984726556084743
map8,21005,B,Always-Trace,1,20,0.8363903414470133,AVAILABLE,0.10527002107905395,AVAILABLE,0.912718204488778
map8,21005,B,Always-Trace,2,38,1.0,AVAILABLE,0.09616888251636968,AVAILABLE,0.9338808694209391
map8,21005,B,Always-Trace,3,35,0.6262626262626263,AVAILABLE,0.1645126733044931,AVAILABLE,0.9868615536212842
map8,21005,C,Selective,1,20,0.8542519326966803,AVAILABLE,0.08299189661417632,AVAILABLE,0.9236076475477972
map8,21005,C,Selective,2,38,0.7303010890454835,AVAILABLE,0.15398807947795545,AVAILABLE,0.9321387091421934
map8,21005,C,Selective,3,35,0.5713417413766905,AVAILABLE,0.22977644106663903,AVAILABLE,0.9894071276071604
radish_mexico,21001,A,Original,1,59,0.13689752936411503,AVAILABLE,1.0587203209192497,AVAILABLE,0.9698137239293106
radish_mexico,21001,A,Original,2,41,0.0,AVAILABLE,2.1507926509013267,AVAILABLE,0.9608954558481674
radish_mexico,21001,A,Original,3,82,0.0,NO_ESTIMATED_BOUNDARY,,ONE_EMPTY_DISTANCE_UNDEFINED,1.0
radish_mexico,21001,A,Original,4,69,0.0,AVAILABLE,1.5007811148170145,AVAILABLE,0.9840481421339192
radish_mexico,21001,A,Original,5,58,0.014837295565671892,AVAILABLE,1.6978389799722262,AVAILABLE,0.9699729342461392
radish_mexico,21001,A,Original,6,166,0.0,AVAILABLE,1.596768420928292,AVAILABLE,0.9921034197287143
radish_mexico,21001,A,Original,7,87,0.000859106529209622,AVAILABLE,1.7774532725197778,AVAILABLE,0.9844948899996816
radish_mexico,21001,A,Original,8,106,0.12034041356027571,AVAILABLE,1.4893712212465937,AVAILABLE,0.9587021588231548
radish_mexico,21001,A,Original,9,100,0.17537865846714495,AVAILABLE,1.070841457922332,AVAILABLE,0.8966439533847036
radish_mexico,21001,A,Original,10,64,0.09669609079445146,AVAILABLE,1.615143189684083,AVAILABLE,0.8653484891903079
radish_mexico,21001,A,Original,11,65,0.23585134398253482,AVAILABLE,0.6287092085675186,AVAILABLE,0.7377806081834103
radish_mexico,21001,B,Always-Trace,1,59,0.16725199355451803,AVAILABLE,0.9034866565039794,AVAILABLE,0.9400413946823755
radish_mexico,21001,B,Always-Trace,2,41,0.0,AVAILABLE,2.2761053233958197,AVAILABLE,0.9635703595197911
radish_mexico,21001,B,Always-Trace,3,82,0.0,NO_ESTIMATED_BOUNDARY,,ONE_EMPTY_DISTANCE_UNDEFINED,1.0
radish_mexico,21001,B,Always-Trace,4,69,0.0,AVAILABLE,1.480662613006238,AVAILABLE,0.9809596586748177
radish_mexico,21001,B,Always-Trace,5,58,0.0,AVAILABLE,1.8193437807675519,AVAILABLE,0.9779334500875657
radish_mexico,21001,B,Always-Trace,6,166,0.0,AVAILABLE,1.423683559458547,AVAILABLE,0.9642743424823282
radish_mexico,21001,B,Always-Trace,7,87,0.002611818478615736,AVAILABLE,1.557952349232611,AVAILABLE,0.9737654812314942
radish_mexico,21001,B,Always-Trace,8,106,0.08906496580746975,AVAILABLE,1.5400534962588879,AVAILABLE,0.9471120168120741
radish_mexico,21001,B,Always-Trace,9,100,0.12241411111434701,AVAILABLE,1.2007303738691764,AVAILABLE,0.8493918359549131
radish_mexico,21001,B,Always-Trace,10,64,0.09335142845272881,AVAILABLE,1.492480345388504,AVAILABLE,0.8170471550928137
radish_mexico,21001,B,Always-Trace,11,65,0.2121071660331881,AVAILABLE,0.9216150486922547,AVAILABLE,0.6177997134214297
radish_mexico,21001,C,Selective,1,59,0.12391202397322884,AVAILABLE,1.0948164386406964,AVAILABLE,0.9554529533513771
radish_mexico,21001,C,Selective,2,41,0.0,AVAILABLE,2.072106432000135,AVAILABLE,0.9556411807789065
radish_mexico,21001,C,Selective,3,82,0.0,NO_ESTIMATED_BOUNDARY,,ONE_EMPTY_DISTANCE_UNDEFINED,1.0
radish_mexico,21001,C,Selective,4,69,0.0,AVAILABLE,1.4941770484326775,AVAILABLE,0.9776164549304295
radish_mexico,21001,C,Selective,5,58,0.0016273393002441008,AVAILABLE,1.7246044536530087,AVAILABLE,0.9627129437987582
radish_mexico,21001,C,Selective,6,166,0.0,AVAILABLE,1.5912427100916422,AVAILABLE,0.9915939629370184
radish_mexico,21001,C,Selective,7,87,0.0,AVAILABLE,1.7295182383540042,AVAILABLE,0.9794963227100513
radish_mexico,21001,C,Selective,8,106,0.09581233577476231,AVAILABLE,1.5014069228493376,AVAILABLE,0.9523021078774756
radish_mexico,21001,C,Selective,9,100,0.1435845828720942,AVAILABLE,1.1459360691722669,AVAILABLE,0.8516207094185825
radish_mexico,21001,C,Selective,10,64,0.08577670781091273,AVAILABLE,1.6244197496325647,AVAILABLE,0.8204221988728627
radish_mexico,21001,C,Selective,11,65,0.17897631630714472,AVAILABLE,0.8179293490898638,AVAILABLE,0.5787295016717083
radish_mexico,21002,A,Original,1,59,0.11016766820608528,AVAILABLE,0.9553697947881459,AVAILABLE,0.9215729979302659
radish_mexico,21002,A,Original,2,41,0.0,AVAILABLE,2.186303690079714,AVAILABLE,0.9561506862401682
radish_mexico,21002,A,Original,3,82,0.0,NO_ESTIMATED_BOUNDARY,,ONE_EMPTY_DISTANCE_UNDEFINED,1.0
radish_mexico,21002,A,Original,4,69,0.0,AVAILABLE,1.4442313597773655,AVAILABLE,0.9760881332187092
