map,seed,condition,method,selection_order,loop_id,loop_vertex,baseline_anchor_scan,h_star_ids,h_star_size,local_roi_center_x,local_roi_center_y,local_roi_radius_m
map3,21004,A,Original,5,5,8,0,"[0, 1, 2, 3, 4, 5, 6]",7,-2.833333333333332,-2.319444444444443,5.0
map3,21004,B,Always-Trace,1,1,15,171,"[171, 172, 173, 174, 175, 176, 177]",7,21.833333333333336,58.0625,5.0
map3,21004,B,Always-Trace,2,2,26,471,"[471, 472, 473, 474, 475, 476, 477]",7,46.5,21.319444444444443,5.0
map3,21004,B,Always-Trace,3,3,35,224,"[224, 225, 226, 227, 228, 229, 230]",7,21.833333333333336,33.65277777777778,5.0
map3,21004,B,Always-Trace,4,4,22,554,"[554, 555, 556, 557, 558, 559, 560]",7,34.166666666666664,-2.319444444444443,5.0
map3,21004,B,Always-Trace,5,5,8,0,"[0, 1, 2, 3, 4, 5, 6]",7,-2.833333333333332,-2.319444444444443,5.0
map3,21004,C,Selective,1,1,15,141,"[141, 142, 143, 144, 145, 146, 147]",7,21.833333333333336,58.0625,5.0
map3,21004,C,Selective,2,2,26,345,"[345, 346, 347, 348, 349, 350, 351]",7,46.5,21.319444444444443,5.0
map3,21004,C,Selective,3,3,35,169,"[169, 170, 171, 172, 173, 174, 175]",7,21.833333333333336,33.65277777777778,5.0
map3,21004,C,Selective,4,4,22,444,"[444, 445, 446, 447, 448, 449, 450]",7,34.166666666666664,-2.319444444444443,5.0
map3,21004,C,Selective,5,5,8,0,"[0, 1, 2, 3, 4, 5, 6]",7,-2.833333333333332,-2.319444444444443,5.0
map3,21005,A,Original,1,1,15,148,"[148, 149, 150, 151, 152, 153, 154]",7,21.833333333333336,58.0625,5.0
map3,21005,A,Original,2,2,26,362,"[362, 363, 364, 365, 366, 367, 368]",7,46.5,21.319444444444443,5.0
map3,21005,A,Original,3,3,35,194,"[194, 195, 196, 197, 198, 199, 200]",7,21.833333333333336,33.65277777777778,5.0
map3,21005,A,Original,4,4,22,435,"[435, 436, 437, 438, 439, 440, 441]",7,34.166666666666664,-2.319444444444443,5.0
map3,21005,A,Original,5,5,8,0,"[0, 1, 2, 3, 4, 5, 6]",7,-2.833333333333332,-2.319444444444443,5.0
map3,21005,B,Always-Trace,1,1,15,160,"[160, 161, 162, 163, 164, 165, 166]",7,21.833333333333336,58.0625,5.0
map3,21005,B,Always-Trace,2,2,26,497,"[497, 498, 499, 500, 501, 502, 503]",7,46.5,21.319444444444443,5.0
map3,21005,B,Always-Trace,3,3,35,207,"[207, 208, 209, 210, 211, 212, 213]",7,21.833333333333336,33.65277777777778,5.0
map3,21005,B,Always-Trace,4,4,22,581,"[581, 582, 583, 584, 585, 586, 587]",7,34.166666666666664,-2.319444444444443,5.0
map3,21005,B,Always-Trace,5,5,8,0,"[0, 1, 2, 3, 4, 5, 6]",7,-2.833333333333332,-2.319444444444443,5.0
map3,21005,C,Selective,1,1,15,174,"[174, 175, 176, 177, 178, 179, 180]",7,21.833333333333336,58.0625,5.0
map3,21005,C,Selective,2,2,26,406,"[406, 407, 408, 409, 410, 411, 412]",7,46.5,21.319444444444443,5.0
map3,21005,C,Selective,3,3,35,223,"[223, 224, 225, 226, 227, 228, 229]",7,21.833333333333336,33.65277777777778,5.0
map3,21005,C,Selective,4,4,22,458,"[458, 459, 460, 461, 462, 463, 464]",7,34.166666666666664,-2.319444444444443,5.0
map3,21005,C,Selective,5,5,8,0,"[0, 1, 2, 3, 4, 5, 6]",7,-2.833333333333332,-2.319444444444443,5.0
map8,21001,A,Original,1,1,20,1,"[1, 2, 3, 4, 5, 6, 7]",7,1.622429906542056,-0.48672897196261683,5.0
map8,21001,A,Original,2,2,38,488,"[488, 489, 490, 491, 492, 493, 494]",7,-3.244859813084112,-11.803177570093458,5.0
map8,21001,A,Original,3,3,35,374,"[374, 375, 376, 377, 378, 379, 380]",7,-31.637383177570094,11.722056074766355,5.0
map8,21001,B,Always-Trace,1,1,20,1,"[1, 2, 3, 4, 5, 6, 7]",7,1.622429906542056,-0.48672897196261683,5.0
map8,21001,B,Always-Trace,2,2,38,482,"[482, 483, 484, 485, 486, 487, 488]",7,-3.244859813084112,-11.803177570093458,5.0
map8,21001,B,Always-Trace,3,3,35,394,"[394, 395, 396, 397, 398, 399, 400]",7,-31.637383177570094,11.722056074766355,5.0
map8,21001,C,Selective,1,1,20,1,"[1, 2, 3, 4, 5, 6, 7]",7,1.622429906542056,-0.48672897196261683,5.0
map8,21001,C,Selective,2,2,38,499,"[499, 500, 501, 502, 503, 504, 505]",7,-3.244859813084112,-11.803177570093458,5.0
map8,21001,C,Selective,3,3,35,387,"[387, 388, 389, 390, 391, 392, 393]",7,-31.637383177570094,11.722056074766355,5.0
map8,21002,A,Original,1,1,20,1,"[1, 2, 3, 4, 5, 6, 7]",7,1.622429906542056,-0.48672897196261683,5.0
map8,21002,A,Original,2,2,38,467,"[467, 468, 469, 470, 471, 472, 473]",7,-3.244859813084112,-11.803177570093458,5.0
map8,21002,A,Original,3,3,35,339,"[339, 340, 341, 342, 343, 344, 345]",7,-31.637383177570094,11.722056074766355,5.0
map8,21002,B,Always-Trace,1,1,20,1,"[1, 2, 3, 4, 5, 6, 7]",7,1.622429906542056,-0.48672897196261683,5.0
map8,21002,B,Always-Trace,2,2,38,483,"[483, 484, 485, 486, 487, 488, 489]",7,-3.244859813084112,-11.803177570093458,5.0
map8,21002,B,Always-Trace,3,3,35,382,"[382, 383, 384, 385, 386, 387, 388]",7,-31.637383177570094,11.722056074766355,5.0
map8,21002,C,Selective,1,1,20,17,"[17, 18, 19, 20, 21, 22, 23]",7,1.622429906542056,-0.48672897196261683,5.0
map8,21002,C,Selective,2,2,38,483,"[483, 484, 485, 486, 487, 488, 489]",7,-3.244859813084112,-11.803177570093458,5.0
map8,21002,C,Selective,3,3,35,405,"[405, 406, 407, 408, 409, 410, 411]",7,-31.637383177570094,11.722056074766355,5.0
map8,21003,A,Original,1,1,20,1,"[1, 2, 3, 4, 5, 6, 7]",7,1.622429906542056,-0.48672897196261683,5.0
map8,21003,A,Original,2,2,38,465,"[465, 466, 467, 468, 469, 470, 471]",7,-3.244859813084112,-11.803177570093458,5.0
map8,21003,A,Original,3,3,35,350,"[350, 351, 352, 353, 354, 355, 356]",7,-31.637383177570094,11.722056074766355,5.0
map8,21003,B,Always-Trace,1,1,20,1,"[1, 2, 3, 4, 5, 6, 7]",7,1.622429906542056,-0.48672897196261683,5.0
map8,21003,B,Always-Trace,2,2,38,478,"[478, 479, 480, 481, 482, 483, 484]",7,-3.244859813084112,-11.803177570093458,5.0
map8,21003,B,Always-Trace,3,3,35,364,"[364, 365, 366, 367, 368, 369, 370]",7,-31.637383177570094,11.722056074766355,5.0
map8,21003,C,Selective,1,1,20,1,"[1, 2, 3, 4, 5, 6, 7]",7,1.622429906542056,-0.48672897196261683,5.0
map8,21003,C,Selective,2,2,38,493,"[493, 494, 495, 496, 497, 498, 499]",7,-3.244859813084112,-11.803177570093458,5.0
map8,21003,C,Selective,3,3,35,419,"[419, 420, 421, 422, 423, 424, 425]",7,-31.637383177570094,11.722056074766355,5.0
map8,21004,A,Original,1,1,20,1,"[1, 2, 3, 4, 5, 6, 7]",7,1.622429906542056,-0.48672897196261683,5.0
map8,21004,A,Original,2,2,38,476,"[476, 477, 478, 479, 480, 481, 482]",7,-3.244859813084112,-11.803177570093458,5.0
map8,21004,A,Original,3,3,35,362,"[362, 363, 364, 365, 366, 367, 368]",7,-31.637383177570094,11.722056074766355,5.0
map8,21004,B,Always-Trace,1,1,20,1,"[1, 2, 3, 4, 5, 6, 7]",7,1.622429906542056,-0.48672897196261683,5.0
map8,21004,B,Always-Trace,2,2,38,521,"[521, 522, 523, 524, 525, 526, 527]",7,-3.244859813084112,-11.803177570093458,5.0
map8,21004,B,Always-Trace,3,3,35,387,"[387, 388, 389, 390, 391, 392, 393]",7,-31.637383177570094,11.722056074766355,5.0
map8,21004,C,Selective,1,1,20,1,"[1, 2, 3, 4, 5, 6, 7]",7,1.622429906542056,-0.48672897196261683,5.0
map8,21004,C,Selective,2,2,38,459,"[459, 460, 461, 462, 463, 464, 465]",7,-3.244859813084112,-11.803177570093458,5.0
map8,21004,C,Selective,3,3,35,347,"[347, 348, 349, 350, 351, 352, 353]",7,-31.637383177570094,11.722056074766355,5.0
map8,21005,A,Original,1,1,20,1,"[1, 2, 3, 4, 5, 6, 7]",7,1.622429906542056,-0.48672897196261683,5.0
map8,21005,A,Original,2,2,38,454,"[454, 455, 456, 457, 458, 459, 460]",7,-3.244859813084112,-11.803177570093458,5.0
map8,21005,A,Original,3,3,35,341,"[341, 342, 343, 344, 345, 346, 347]",7,-31.637383177570094,11.722056074766355,5.0
map8,21005,B,Always-Trace,1,1,20,1,"[1, 2, 3, 4, 5, 6, 7]",7,1.622429906542056,-0.48672897196261683,5.0
map8,21005,B,Always-Trace,2,2,38,482,"[482, 483, 484, 485, 486, 487, 488]",7,-3.244859813084112,-11.803177570093458,5.0
map8,21005,B,Always-Trace,3,3,35,399,"[399, 400, 401, 402, 403, 404, 405]",7,-31.637383177570094,11.722056074766355,5.0
map8,21005,C,Selective,1,1,20,1,"[1, 2, 3, 4, 5, 6, 7]",7,1.622429906542056,-0.48672897196261683,5.0
map8,21005,C,Selective,2,2,38,469,"[469, 470, 471, 472, 473, 474, 475]",7,-3.244859813084112,-11.803177570093458,5.0
map8,21005,C,Selective,3,3,35,356,"[356, 357, 358, 359, 360, 361, 362]",7,-31.637383177570094,11.722056074766355,5.0
