map,seed,condition,method,loop_id,loop_vertex,target_attributable,active_loop_distance_m,active_loop_time_s,local_boundary_f1,local_symmetric_boundary_distance_mean_m,local_observed_coverage
map8,21002,C,Selective,2,38,False,30.316262300360375,85.29999999999995,0.8406737753052079,0.15728036785544536,0.9303965488634478
map8,21003,A,Original,1,20,False,15.119273863896185,31.799999999999955,0.9753086419753086,0.08623005013661522,0.9189526184538653
map8,21003,B,Always-Trace,1,20,False,23.55654407329962,60.299999999999955,0.7955505952380951,0.1678048706479594,0.9241064006650042
map8,21003,C,Selective,1,20,False,10.733800502477472,15.0,0.8111589139279844,0.11512585106930857,0.9132169576059851
map8,21003,A,Original,3,35,False,18.81122382578702,57.90000000000009,0.2672955974842767,0.24289565187071757,0.987682706519954
map8,21003,B,Always-Trace,3,35,False,50.78992956334457,132.0,0.6454993188724719,0.18879718310424726,0.9922811627525046
map8,21003,C,Selective,3,35,False,19.411141888565705,48.0,0.1651959054006354,0.2855177248955661,0.9888323205780917
map8,21003,A,Original,2,38,True,23.307458313005174,47.5,0.8035702245297013,0.13927169698739147,0.930147668823627
map8,21003,B,Always-Trace,2,38,False,50.186317506940966,139.19999999999982,0.7632212471849034,0.17376594645393934,0.9331342293014767
map8,21003,C,Selective,2,38,True,25.431154424048387,52.40000000000009,0.867122059778073,0.15901720276781328,0.928903268624523
map8,21004,A,Original,1,20,False,15.773712090390383,30.199999999999932,0.9692489186000787,0.10547813263069777,0.9160432252701579
map8,21004,B,Always-Trace,1,20,False,25.835352090446463,61.299999999999955,0.8982300884955753,0.1459227008121176,0.9084788029925187
map8,21004,C,Selective,1,20,False,11.405363389157037,16.100000000000023,0.8375214826513075,0.11198380906202698,0.9199501246882793
map8,21004,A,Original,3,35,True,30.165704627423942,69.79999999999995,0.7168882323978335,0.18696690273995734,0.9860404007226146
map8,21004,B,Always-Trace,3,35,True,21.760520079978573,88.0,0.18770388958594728,0.2492714941339536,0.9812777139103301
