map,seed,condition,method,validity,run_dir,planned_active_loops,executed_active_loops,target_attributable_loops,target_realization_rate,temporally_associated_events,passive_or_unrelated_events,active_loop_distance_m,active_loop_time_s,total_exploration_distance_m,total_exploration_sim_time_s,total_exploration_wall_time_s,wall_sim_ratio,repair_count,no_repair_count,early_stop_count,actual_generated_repair_length_m,actual_executed_repair_length_m,avoided_nominal_repair_path_length_lower_bound_m,avoided_path_interpretation,ape_rmse_m,rpe_translation_rmse_m,rpe_rotation_rmse_deg,boundary_f1,symmetric_boundary_distance_mean_m,symmetric_boundary_distance_median_m,symmetric_boundary_distance_p95_m,occupied_iou,local_boundary_f1_mean,local_symmetric_boundary_distance_mean_m,local_observed_coverage_mean
map3,21004,B,Always-Trace,VALID,results/phase4b/map3/seed_21004/B_always_trace,5,5,0,0.0,2,0,214.26747958957338,649.4,652.3327073744862,1736.9,1737.5858359139997,1.0003948620611431,5,0,0,55.21,214.26747958957338,0.0,geometric lower bound; not observed counterfactual travel,0.603357,0.074388,0.2876,0.5265400200548099,0.45334169375708416,0.25,1.4,0.09171862207947604,0.5401531999011614,0.1404958621538775,0.9943881428818788
map3,21004,C,Selective,VALID,results/phase4b/map3/seed_21004/C_selective,5,5,0,0.0,0,1,156.1804701857195,484.30000000000007,540.7777499866364,1412.0,1412.303762078,1.000215128950425,2,3,0,22.61,92.65233445748804,0.0,geometric lower bound; not observed counterfactual travel,0.493636,0.041905,0.257093,0.5455183656132634,0.4178422105916319,0.2118033988749895,1.3,0.07584459037678844,0.26865671641791045,0.24006404740299553,0.9954176856738318
map3,21005,A,Original,VALID,results/phase4b/map3/seed_21005/A_original,5,5,0,0.0,0,0,116.1428786048083,320.4999999999999,527.9708632902757,1346.8999999999999,1347.4761250790007,1.0004277415390903,0,0,0,0.0,0.0,0.0,geometric lower bound; not observed counterfactual travel,0.801703,0.034755,0.180242,0.3158841371973536,0.6023020541700921,0.45,1.720087712549569,0.05988545967478297,0.17094017094017092,0.4307432744851811,0.9863019943653469
map3,21005,B,Always-Trace,VALID,results/phase4b/map3/seed_21005/B_always_trace,5,5,0,0.0,0,0,251.98799159745928,1085.9999999999995,684.7858037254215,2153.5,2154.387227902,1.000411993453448,5,0,0,54.08,251.98799159745928,0.0,geometric lower bound; not observed counterfactual travel,0.905463,0.067362,1.328437,0.5841958433903082,0.44784819836779094,0.2,1.45,0.07766435685368701,0.160135425351828,0.7624685595684204,0.9977941353279235
map3,21005,C,Selective,VALID,results/phase4b/map3/seed_21005/C_selective,5,5,0,0.0,2,0,89.22066889622546,235.79999999999995,540.7398952312882,1458.7,1459.0347194779997,1.0002294642339067,3,2,2,34.980000000000004,53.70939709042964,21.530729300294105,geometric lower bound; not observed counterfactual travel,0.842854,0.035097,0.210086,0.3651249199189656,0.585727790290711,0.4,1.7300423721205946,0.06155546006997729,0.2497831743278404,0.614980728409569,0.9887190557319603
map8,21001,A,Original,VALID,results/phase4c/formal/map8/seed_21001/A_original/attempt_01,3,3,1,0.3333333333333333,1,1,65.70233671962887,148.10000000000002,736.7097131499789,1413.8,1414.2743472549992,1.0003355122754274,0,0,0,0.0,0.0,0.0,geometric lower bound; not observed counterfactual travel,0.217264,0.03648,0.200958,0.5298503404723359,0.22416851026550405,0.1931370849898476,0.56,0.13504938388725507,0.7896069646404604,0.1547578623312455,0.9480256715474699
map8,21001,B,Always-Trace,VALID,results/phase4c/formal/map8/seed_21001/B_always_trace/attempt_01,3,3,1,0.3333333333333333,2,1,90.11826231467404,281.29999999999995,776.0559180991862,1603.3,1604.1907919030018,1.0005555990164048,3,0,0,27.41,90.11826231467404,0.0,geometric lower bound; not observed counterfactual travel,0.067969,0.039602,0.277712,0.556820948476236,0.2211689223756077,0.16,0.48,0.1196440030718411,0.7751002238704897,0.1447761553469789,0.9437485876746123
map8,21001,C,Selective,VALID,results/phase4c/formal/map8/seed_21001/C_selective/attempt_01,3,3,1,0.3333333333333333,1,1,73.25431763179553,174.69999999999993,745.5355735169536,1443.0,1443.6804401219997,1.0004715454760913,2,1,2,24.810000000000002,41.51389192603067,15.36516953580418,geometric lower bound; not observed counterfactual travel,0.245396,0.032536,0.16742,0.5307200838677341,0.22813800665345607,0.1931370849898476,0.6,0.12392919534423608,0.5537876288000826,0.1892600022890268,0.9470048169977275
map8,21002,A,Original,VALID,results/phase4c/formal/map8/seed_21002/A_original/attempt_01,3,3,0,0.0,1,2,80.89008503945752,166.49999999999966,783.0482389788014,1528.1999999999998,1529.153663134,1.0006240434066223,0,0,0,0.0,0.0,0.0,geometric lower bound; not observed counterfactual travel,0.116864,0.036359,0.156456,0.6229881055379191,0.1939904730294235,0.16,0.48,0.126148969889065,0.726157804948377,0.14655816110466693,0.9422892069880672
map8,21002,B,Always-Trace,VALID,results/phase4c/formal/map8/seed_21002/B_always_trace/attempt_01,3,3,1,0.3333333333333333,2,1,150.13052746412666,442.30000000000007,851.2386834146931,1765.1000000000001,1765.9644391529982,1.0004897394782155,3,0,0,29.49,150.13052746412666,0.0,geometric lower bound; not observed counterfactual travel,0.098679,0.036908,0.265662,0.6162623719453872,0.1912738699822964,0.16,0.44000000000000006,0.1357078354369238,0.8239740915824552,0.13585581253842896,0.9461468749869401
