map,seed,contrast,metric,left_value,right_value,difference
map3,21005,B-A,local_symmetric_boundary_distance_mean_m,0.7624685595684204,0.4307432744851811,0.3317252850832393
map3,21005,B-A,local_observed_coverage_mean,0.9977941353279235,0.9863019943653469,0.011492140962576558
map3,21005,C-B,target_realization_rate,0.0,0.0,0.0
map3,21005,C-B,active_loop_distance_m,89.22066889622546,251.98799159745928,-162.7673227012338
map3,21005,C-B,active_loop_time_s,235.79999999999995,1085.9999999999995,-850.1999999999996
map3,21005,C-B,ape_rmse_m,0.842854,0.905463,-0.06260900000000003
map3,21005,C-B,rpe_translation_rmse_m,0.035097,0.067362,-0.032265
map3,21005,C-B,rpe_rotation_rmse_deg,0.210086,1.328437,-1.118351
map3,21005,C-B,boundary_f1,0.3651249199189656,0.5841958433903082,-0.21907092347134255
map3,21005,C-B,symmetric_boundary_distance_mean_m,0.585727790290711,0.44784819836779094,0.13787959192292004
map3,21005,C-B,local_boundary_f1_mean,0.2497831743278404,0.160135425351828,0.08964774897601238
map3,21005,C-B,local_symmetric_boundary_distance_mean_m,0.614980728409569,0.7624685595684204,-0.14748783115885145
map3,21005,C-B,local_observed_coverage_mean,0.9887190557319603,0.9977941353279235,-0.009075079595963209
map8,21001,C-A,target_realization_rate,0.3333333333333333,0.3333333333333333,0.0
map8,21001,C-A,active_loop_distance_m,73.25431763179553,65.70233671962887,7.5519809121666555
map8,21001,C-A,active_loop_time_s,174.69999999999993,148.10000000000002,26.59999999999991
map8,21001,C-A,ape_rmse_m,0.245396,0.217264,0.02813199999999999
map8,21001,C-A,rpe_translation_rmse_m,0.032536,0.03648,-0.003943999999999996
map8,21001,C-A,rpe_rotation_rmse_deg,0.16742,0.200958,-0.033537999999999984
map8,21001,C-A,boundary_f1,0.5307200838677341,0.5298503404723359,0.000869743395398137
map8,21001,C-A,symmetric_boundary_distance_mean_m,0.22813800665345607,0.22416851026550405,0.003969496387952021
map8,21001,C-A,local_boundary_f1_mean,0.5537876288000826,0.7896069646404604,-0.23581933584037784
map8,21001,C-A,local_symmetric_boundary_distance_mean_m,0.1892600022890268,0.1547578623312455,0.034502139957781314
map8,21001,C-A,local_observed_coverage_mean,0.9470048169977275,0.9480256715474699,-0.0010208545497423227
map8,21001,B-A,target_realization_rate,0.3333333333333333,0.3333333333333333,0.0
map8,21001,B-A,active_loop_distance_m,90.11826231467404,65.70233671962887,24.415925595045167
map8,21001,B-A,active_loop_time_s,281.29999999999995,148.10000000000002,133.19999999999993
map8,21001,B-A,ape_rmse_m,0.067969,0.217264,-0.149295
map8,21001,B-A,rpe_translation_rmse_m,0.039602,0.03648,0.0031219999999999998
map8,21001,B-A,rpe_rotation_rmse_deg,0.277712,0.200958,0.07675400000000002
map8,21001,B-A,boundary_f1,0.556820948476236,0.5298503404723359,0.026970608003900054
map8,21001,B-A,symmetric_boundary_distance_mean_m,0.2211689223756077,0.22416851026550405,-0.002999587889896349
map8,21001,B-A,local_boundary_f1_mean,0.7751002238704897,0.7896069646404604,-0.014506740769970716
map8,21001,B-A,local_symmetric_boundary_distance_mean_m,0.1447761553469789,0.1547578623312455,-0.009981706984266592
map8,21001,B-A,local_observed_coverage_mean,0.9437485876746123,0.9480256715474699,-0.004277083872857523
map8,21001,C-B,target_realization_rate,0.3333333333333333,0.3333333333333333,0.0
map8,21001,C-B,active_loop_distance_m,73.25431763179553,90.11826231467404,-16.86394468287851
map8,21001,C-B,active_loop_time_s,174.69999999999993,281.29999999999995,-106.60000000000002
map8,21001,C-B,ape_rmse_m,0.245396,0.067969,0.177427
map8,21001,C-B,rpe_translation_rmse_m,0.032536,0.039602,-0.007065999999999996
